Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_For,Age,Spent,Living_With,TotalPurchases,Children,Family_Size,Is_Parent,Living_With_Descendants
Graduate,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,971,64,1617,Alone,25,0,1,0,No
Graduate,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,125,67,27,Alone,6,2,3,1,Yes
Graduate,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,472,56,776,Partner,21,0,2,0,No
Graduate,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,65,37,53,Partner,8,1,3,1,Yes
Postgraduate,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,321,40,422,Partner,19,1,3,1,Yes
Postgraduate,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,453,54,716,Partner,22,1,3,1,Yes
Graduate,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,753,50,590,Alone,21,1,2,1,Yes
Postgraduate,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,488,36,169,Partner,10,1,3,1,Yes
Postgraduate,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,548,47,46,Partner,6,1,3,1,Yes
Postgraduate,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,268,71,49,Partner,2,2,4,1,Yes
Undergraduate,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,753,45,61,Partner,6,0,2,0,No
Graduate,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,386,62,1102,Alone,16,0,1,0,No
Postgraduate,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,386,69,310,Alone,15,2,3,1,Yes
Graduate,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,787,34,46,Partner,5,0,2,0,No
Postgraduate,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,742,75,1315,Alone,26,0,1,0,No
Graduate,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,712,41,96,Partner,9,2,4,1,Yes
Graduate,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,827,75,317,Partner,13,0,2,0,No
Postgraduate,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,618,72,1782,Partner,26,1,3,1,Yes
Undergraduate,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1000,36,133,Alone,8,1,2,1,Yes
Graduate,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,850,39,316,Partner,12,0,2,0,No
Graduate,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,553,42,1730,Partner,43,1,3,1,Yes
Postgraduate,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,713,72,972,Partner,17,1,3,1,Yes
Postgraduate,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,35,67,544,Partner,20,1,3,1,Yes
Graduate,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,628,70,444,Partner,20,1,3,1,Yes
Graduate,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,673,52,75,Alone,8,0,1,0,No
Graduate,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,558,45,257,Partner,14,2,4,1,Yes
Graduate,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,554,32,131,Partner,9,1,3,1,Yes
Postgraduate,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,379,56,1672,Partner,26,0,2,0,No
Postgraduate,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,198,32,30,Alone,8,0,1,0,No
Postgraduate,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,396,58,318,Partner,11,0,2,0,No
Graduate,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,787,51,120,Partner,9,1,3,1,Yes
Postgraduate,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,768,69,302,Alone,17,2,3,1,Yes
Postgraduate,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,654,75,1196,Partner,18,0,2,0,No
Postgraduate,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,464,70,65,Alone,6,2,3,1,Yes
Postgraduate,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,340,51,913,Partner,28,1,3,1,Yes
Undergraduate,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,665,45,81,Partner,9,1,3,1,Yes
Graduate,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,34,48,67,Alone,7,1,2,1,Yes
Postgraduate,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,703,78,902,Alone,24,0,1,0,No
Graduate,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,586,41,1395,Partner,21,1,3,1,Yes
Postgraduate,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,368,36,53,Partner,7,1,3,1,Yes
Graduate,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,712,64,22,Partner,4,1,3,1,Yes
Postgraduate,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,664,46,31,Partner,8,1,3,1,Yes
Graduate,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,161,45,984,Alone,16,0,1,0,No
Undergraduate,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,816,25,122,Partner,10,0,2,0,No
Graduate,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,561,53,55,Partner,5,1,3,1,Yes
Postgraduate,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,847,67,1319,Partner,28,2,4,1,Yes
Graduate,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1,64,507,Alone,17,1,2,1,Yes
Postgraduate,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,758,57,1693,Partner,29,0,2,0,No
Graduate,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,673,44,72,Alone,7,1,2,1,Yes
Graduate,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,153,44,1617,Alone,21,0,1,0,No
Graduate,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,365,43,606,Partner,23,2,4,1,Yes
Postgraduate,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,747,66,1957,Partner,27,0,2,0,No
Graduate,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,670,55,1093,Alone,21,0,1,0,No
Graduate,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,222,33,29,Alone,6,1,2,1,Yes
Postgraduate,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,278,53,518,Partner,19,1,3,1,Yes
Postgraduate,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,608,39,1438,Alone,21,0,1,0,No
Graduate,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,880,46,612,Partner,22,2,4,1,Yes
Graduate,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,656,69,884,Alone,24,1,2,1,Yes
Postgraduate,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,395,70,606,Alone,19,1,2,1,Yes
Graduate,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,542,73,1076,Partner,16,0,2,0,No
Graduate,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,564,50,34,Partner,5,1,3,1,Yes
Graduate,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,31,54,11,Partner,4,2,4,1,Yes
Undergraduate,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,262,42,1274,Alone,32,1,2,1,Yes
Graduate,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,435,63,653,Partner,18,1,3,1,Yes
Graduate,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,489,51,1562,Partner,19,3,5,1,Yes
Postgraduate,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,757,67,1253,Partner,21,0,2,0,No
Graduate,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,629,62,863,Partner,30,1,3,1,Yes
Postgraduate,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,581,46,661,Partner,24,2,4,1,Yes
Graduate,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,220,69,65,Partner,8,0,2,0,No
Graduate,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,717,44,13,Alone,4,1,2,1,Yes
Postgraduate,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,831,49,1890,Partner,19,0,2,0,No
Graduate,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,726,45,2209,Alone,22,0,1,0,No
Undergraduate,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,606,45,18,Partner,4,0,2,0,No
Graduate,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,673,56,692,Partner,21,0,2,0,No
Graduate,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,829,36,165,Alone,12,1,2,1,Yes
Graduate,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,531,52,16,Partner,4,1,3,1,Yes
